,population,income $/year,median gross rent,tractindex
"Census Tract 73.12, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007312",1946,27139.0,822.0,007312
"Census Tract 73.13, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007313",8055,33836.0,997.0,007313
"Census Tract 73.14, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007314",3757,51092.0,-666666666.0,007314
"Census Tract 73.15, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007315",3597,42676.0,1038.0,007315
"Census Tract 73.16, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007316",3059,,1390.0,007316
"Census Tract 73.17, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007317",4179,,982.0,007317
"Census Tract 73.18, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007318",4834,49484.0,785.0,007318
"Census Tract 74.05, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007405",2420,,317.0,007405
"Census Tract 74.06, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007406",5105,35225.0,782.0,007406
"Census Tract 74.07, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007407",2761,29877.0,878.0,007407
"Census Tract 74.08, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007408",4455,29719.0,778.0,007408
"Census Tract 74.09, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007409",2256,37076.0,870.0,007409
"Census Tract 74.24, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007424",2840,,672.0,007424
"Census Tract 74.29, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007429",3382,46121.0,1218.0,007429
"Census Tract 74.31, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007431",4522,43729.0,1006.0,007431
"Census Tract 74.32, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007432",3209,31201.0,1104.0,007432
"Census Tract 74.33, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007433",4284,,911.0,007433
"Census Tract 74.34, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007434",3412,21885.0,739.0,007434
"Census Tract 74.35, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007435",3761,30801.0,1172.0,007435
"Census Tract 74.36, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007436",4092,27181.0,766.0,007436
"Census Tract 74.38, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007438",1951,37115.0,1031.0,007438
"Census Tract 74.39, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007439",4488,,918.0,007439
"Census Tract 74.40, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007440",1884,28662.0,816.0,007440
"Census Tract 74.41, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007441",2565,48015.0,2211.0,007441
"Census Tract 74.42, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007442",4929,,1426.0,007442
"Census Tract 74.43, Douglas County, Nebraska: Summary level: 140, state:31> county:055> tract:007443",3325,36321.0,796.0,007443
