,x,y,headways_mean,unique_route_id
ch:23026:1167:1:51_zürcher_verkehrsverbund,8.82619919598247,47.3942815236296,6.315789473684211,61-833-P-j19-1_zürcher_verkehrsverbund
ch:23026:1291:1:60_zürcher_verkehrsverbund,8.51345971292556,47.581423573532106,24.0,61-542-P-j19-1_zürcher_verkehrsverbund
ch:23026:1291:1:60_zürcher_verkehrsverbund,8.51345971292556,47.581423573532106,60.0,61-543-P-j19-1_zürcher_verkehrsverbund
ch:23026:1291:1:60_zürcher_verkehrsverbund,8.51345971292556,47.581423573532106,50.0,61-546-P-j19-1_zürcher_verkehrsverbund
ch:23026:1291:1:61_zürcher_verkehrsverbund,8.513324965632929,47.5812720855166,4.428571428571429,61-545-P-j19-1_zürcher_verkehrsverbund
ch:23026:1291:1:62_zürcher_verkehrsverbund,8.513145302576081,47.5810297037799,24.0,61-542-P-j19-1_zürcher_verkehrsverbund
ch:23026:1291:1:62_zürcher_verkehrsverbund,8.513145302576081,47.5810297037799,,61-543-P-j19-1_zürcher_verkehrsverbund
ch:23026:1291:1:62_zürcher_verkehrsverbund,8.513145302576081,47.5810297037799,40.0,61-546-P-j19-1_zürcher_verkehrsverbund
ch:23026:1617:1:51_zürcher_verkehrsverbund,8.65614811267497,47.63175390182429,9.23076923076923,61-620-P-j19-1_zürcher_verkehrsverbund
ch:23026:1617:1:51_zürcher_verkehrsverbund,8.65614811267497,47.63175390182429,0.0,61-621-P-j19-1_zürcher_verkehrsverbund
ch:23026:1617:1:52_zürcher_verkehrsverbund,8.65610319691076,47.6318991900393,0.0,61-620-P-j19-1_zürcher_verkehrsverbund
ch:23026:1617:1:52_zürcher_verkehrsverbund,8.65610319691076,47.6318991900393,13.333333333333334,61-621-P-j19-1_zürcher_verkehrsverbund
ch:23026:1617:1:52_zürcher_verkehrsverbund,8.65610319691076,47.6318991900393,11.090909090909092,61-623-P-j19-1_zürcher_verkehrsverbund
ch:23026:1781:1:52_zürcher_verkehrsverbund,8.51077375022567,47.4703745477886,3.1914893617021276,61-504-P-j19-1_zürcher_verkehrsverbund
ch:23026:1781:1:52_zürcher_verkehrsverbund,8.51077375022567,47.4703745477886,3.1914893617021276,61-525-P-j19-1_zürcher_verkehrsverbund
ch:23026:1974:1:52_zürcher_verkehrsverbund,8.77649541130522,47.3946707151669,0.0,61-826-P-j19-1_zürcher_verkehrsverbund
ch:23026:1974:1:52_zürcher_verkehrsverbund,8.77649541130522,47.3946707151669,8.571428571428571,61-831-P-j19-1_zürcher_verkehrsverbund
ch:23026:1974:1:52_zürcher_verkehrsverbund,8.77649541130522,47.3946707151669,8.571428571428571,61-832-P-j19-1_zürcher_verkehrsverbund
ch:23026:2075:1:80_zürcher_verkehrsverbund,8.47732048904041,47.500260243967,7.021739130434782,61-510-P-j19-1_zürcher_verkehrsverbund
ch:23026:2095:1:52_zürcher_verkehrsverbund,8.60737857589333,47.4000400487554,2.142857142857143,31-759-P-j19-1_zürcher_verkehrsverbund
ch:23026:2283:2:12_zürcher_verkehrsverbund,8.7615923607396,47.4832949281877,20.428571428571427,21-109-P-j19-1_zürcher_verkehrsverbund
ch:23026:2642:1:50_zürcher_verkehrsverbund,8.58245930990839,47.2690927505758,2.3076923076923075,51-145-P-j19-1_zürcher_verkehrsverbund
ch:23026:2642:1:51_zürcher_verkehrsverbund,8.582621006659549,47.2691171328596,2.3076923076923075,51-145-P-j19-1_zürcher_verkehrsverbund
ch:23026:2690:1:51_zürcher_verkehrsverbund,8.84399482176335,47.4370085232244,4.117647058823529,61-806-P-j19-1_zürcher_verkehrsverbund
ch:23026:2690:1:51_zürcher_verkehrsverbund,8.84399482176335,47.4370085232244,8.571428571428571,61-807-P-j19-1_zürcher_verkehrsverbund
ch:23026:2740:1:80_zürcher_verkehrsverbund,8.59546691522425,47.49040949527411,5.454545454545454,61-524-P-j19-1_zürcher_verkehrsverbund
ch:23026:2887:1:51_zürcher_verkehrsverbund,8.59796423171445,47.23429998633571,6.521739130434782,51-150-P-j19-1_zürcher_verkehrsverbund
ch:23026:3252:1:53_zürcher_verkehrsverbund,8.8257410551875,47.5398145613929,13.9,21-611-P-j19-1_zürcher_verkehrsverbund
ch:23026:3335:1:51_zürcher_verkehrsverbund,8.53898983330379,47.5265259388314,2.542372881355932,61-501-P-j19-1_zürcher_verkehrsverbund
ch:23026:3406:1:50_zürcher_verkehrsverbund,8.543876668450089,47.5149995325848,2.542372881355932,61-501-P-j19-1_zürcher_verkehrsverbund
ch:23026:3408:1:50_zürcher_verkehrsverbund,8.54643686701018,47.519537598964206,2.542372881355932,61-501-P-j19-1_zürcher_verkehrsverbund
ch:23026:6090:1:53_zürcher_verkehrsverbund,8.53162364797299,47.577127203347,60.0,61-542-P-j19-1_zürcher_verkehrsverbund
ch:23026:6092:1:53_zürcher_verkehrsverbund,8.52268541089476,47.5762484946515,60.0,61-543-P-j19-1_zürcher_verkehrsverbund
ch:23026:6122:1:52_zürcher_verkehrsverbund,8.827932944481061,47.469281512735,0.08888888888888889,61-680-P-j19-1_zürcher_verkehrsverbund
ch:23026:6153:1:51_zürcher_verkehrsverbund,8.845324328384029,47.4238154223069,13.333333333333334,61-807-P-j19-1_zürcher_verkehrsverbund
ch:23026:6263:1:52_zürcher_verkehrsverbund,8.61109760117011,47.2827938234153,30.0,41-972-P-j19-1_zürcher_verkehrsverbund
ch:23026:6263:1:52_zürcher_verkehrsverbund,8.61109760117011,47.2827938234153,30.4,41-973-P-j19-1_zürcher_verkehrsverbund
ch:23026:6263:1:53_zürcher_verkehrsverbund,8.61109760117011,47.2827938234153,29.8,41-973-P-j19-1_zürcher_verkehrsverbund
ch:23026:6263:1:53_zürcher_verkehrsverbund,8.61109760117011,47.2827938234153,30.0,41-974-P-j19-1_zürcher_verkehrsverbund
ch:23026:6292:1:52_zürcher_verkehrsverbund,8.91226678336594,47.3870992076271,15.2,61-809-P-j19-1_zürcher_verkehrsverbund
ch:23026:6317:1:50_zürcher_verkehrsverbund,8.71588607907724,47.534332123811105,10.909090909090908,61-679-P-j19-1_zürcher_verkehrsverbund
ch:23026:6343:1:51_zürcher_verkehrsverbund,8.53925932788907,47.5169349324234,3.1914893617021276,61-504-P-j19-1_zürcher_verkehrsverbund
ch:23026:6486:1:51_zürcher_verkehrsverbund,8.52711410524608,47.461465649776294,30.0,31-797-P-j19-1_zürcher_verkehrsverbund
ch:23026:6680:1:52_zürcher_verkehrsverbund,8.82139320921176,47.368217395040595,6.315789473684211,61-835-P-j19-1_zürcher_verkehrsverbund
ch:23026:6680:1:52_zürcher_verkehrsverbund,8.82139320921176,47.368217395040595,6.666666666666667,61-837-P-j19-1_zürcher_verkehrsverbund
ch:23026:6917:1:51_zürcher_verkehrsverbund,8.44273535059699,47.5535909003069,2.5864406779661016,61-510-P-j19-1_zürcher_verkehrsverbund
ch:23026:6917:1:51_zürcher_verkehrsverbund,8.44273535059699,47.5535909003069,0.0,61-515-P-j19-1_zürcher_verkehrsverbund
ch:23026:6938:1:51_zürcher_verkehrsverbund,8.79550376271983,47.3629360907443,5.517241379310345,61-835-P-j19-1_zürcher_verkehrsverbund
ch:23026:6938:1:51_zürcher_verkehrsverbund,8.79550376271983,47.3629360907443,6.666666666666667,61-837-P-j19-1_zürcher_verkehrsverbund
ch:23026:6993:1:51_zürcher_verkehrsverbund,8.45061357563981,47.479500503130595,29.0,31-593-P-j19-1_zürcher_verkehrsverbund
ch:23026:7032:1:80_zürcher_verkehrsverbund,8.5132351341045,47.5237840970111,,61-515-P-j19-1_zürcher_verkehrsverbund
ch:23026:723:1:51_zürcher_verkehrsverbund,8.6217426372884,47.525403742136895,4.205882352941177,61-529-P-j19-1_zürcher_verkehrsverbund
ch:23026:872:1:51_zürcher_verkehrsverbund,8.481767149697419,47.405414915057,6.818181818181818,31-485-P-j19-1_zürcher_verkehrsverbund
ch:23026:94:1:52_zürcher_verkehrsverbund,8.67586613316414,47.59374716985,60.0,61-612-P-j19-1_zürcher_verkehrsverbund
ch:23026:94:1:52_zürcher_verkehrsverbund,8.67586613316414,47.59374716985,10.927272727272728,61-677-P-j19-1_zürcher_verkehrsverbund
gen:23001:1339:1:50_zürcher_verkehrsverbund,8.43862106659515,47.322968450141104,3.061224489795918,61-205-P-j19-1_zürcher_verkehrsverbund
gen:23001:1339:1:51_zürcher_verkehrsverbund,8.43901632532022,47.3230232543973,3.061224489795918,61-205-P-j19-1_zürcher_verkehrsverbund
gen:23001:1397:1:50_zürcher_verkehrsverbund,8.37603544074183,47.3941173325877,13.9,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:1757:1:50_zürcher_verkehrsverbund,8.39291478493278,47.31213435916511,2.3076923076923075,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:1757:1:50_zürcher_verkehrsverbund,8.39291478493278,47.31213435916511,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:1757:1:51_zürcher_verkehrsverbund,8.392555458819091,47.312585062654,2.205633802816901,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:1757:1:51_zürcher_verkehrsverbund,8.392555458819091,47.312585062654,2.355384615384615,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:1941:1:50_zürcher_verkehrsverbund,8.395492949798571,47.29605878547461,2.3076923076923075,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:1941:1:51_zürcher_verkehrsverbund,8.39564566339689,47.296016138194894,2.3092592592592593,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:1947:1:50_zürcher_verkehrsverbund,8.39787348530182,47.293499887811,2.3076923076923075,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:1947:1:51_zürcher_verkehrsverbund,8.39816094619277,47.2933780324526,2.314814814814815,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:1949:1:50_zürcher_verkehrsverbund,8.39387598228693,47.2992450492293,2.3076923076923075,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:1949:1:51_zürcher_verkehrsverbund,8.39387598228693,47.29975678306501,2.3074074074074074,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:2085:1:50_zürcher_verkehrsverbund,8.39057018204091,47.3933511009612,30.419999999999998,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:2085:1:51_zürcher_verkehrsverbund,8.39074984509776,47.393186907020294,29.860000000000003,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:2085:1:51_zürcher_verkehrsverbund,8.39074984509776,47.393186907020294,,7-315-P-j19-1_zürcher_verkehrsverbund
gen:23001:2384:1:50_zürcher_verkehrsverbund,8.36853450811839,47.4206184386022,4.722857142857142,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:2384:1:51_zürcher_verkehrsverbund,8.36841772713144,47.4203449233766,4.731428571428571,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:2578:1:50_zürcher_verkehrsverbund,8.42384378016933,47.3200576535038,2.3076923076923075,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:2578:1:50_zürcher_verkehrsverbund,8.42384378016933,47.3200576535038,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:2578:1:51_zürcher_verkehrsverbund,8.42402344322618,47.3200576535038,2.1985915492957746,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:2578:1:51_zürcher_verkehrsverbund,8.42402344322618,47.3200576535038,2.3476923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:2578:1:52_zürcher_verkehrsverbund,8.42484091013484,47.320343868650596,1.517171717171717,61-205-P-j19-1_zürcher_verkehrsverbund
gen:23001:2789:1:50_zürcher_verkehrsverbund,8.38495571151438,47.389781287720005,30.419999999999998,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:2789:1:51_zürcher_verkehrsverbund,8.38535995339229,47.389325161281604,29.96,7-305-P-j19-1_zürcher_verkehrsverbund
gen:23001:2789:1:51_zürcher_verkehrsverbund,8.38535995339229,47.389325161281604,,7-315-P-j19-1_zürcher_verkehrsverbund
gen:23001:2808:1:50_zürcher_verkehrsverbund,8.39852027230647,47.31340728208961,2.3076923076923075,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:2808:1:50_zürcher_verkehrsverbund,8.39852027230647,47.31340728208961,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:2808:1:51_zürcher_verkehrsverbund,8.39918502561681,47.3134681867241,2.205633802816901,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:2808:1:51_zürcher_verkehrsverbund,8.39918502561681,47.3134681867241,2.355384615384615,61-245-P-j19-1_zürcher_verkehrsverbund
