,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
0,178098180,178097342,"LINESTRING (-107.827759500636 37.93964657487509, -107.8270681006372 37.93918847487119, -107.8262506006386 37.93870727486608, -107.8256578006398 37.93853737486096, -107.8249882006413 37.93834197485517, -107.8243977006425 37.93818027485, -107.8237496006439 37.93790017484513)",residential,,406.202,West Black Bear Road,False,
1,3224169477,3224169486,"LINESTRING (-107.8210588006545 37.94112947478966, -107.8210484006545 37.9411108747897, -107.8210000006546 37.94107907478943, -107.8209550006547 37.941068674789, -107.8209251006548 37.94106867478867)",primary,1,14.518,,True,
2,3224169477,1466047479,"LINESTRING (-107.8210588006545 37.94112947478966, -107.8210736006544 37.94107377479028, -107.821129900654 37.94086647479258, -107.821109300654 37.94082547479265)",residential,,34.806,Mahoney Drive,True,
3,3224169486,3224169512,"LINESTRING (-107.8209251006548 37.94106867478867, -107.8209039006549 37.94107187478842)",primary,1,1.893,,True,
4,3224169491,3224169471,"LINESTRING (-107.8213177006543 37.94142917479009, -107.8211702006545 37.94130857478944, -107.8211219006546 37.94124507478944, -107.8210750006545 37.94117627478946)",primary,1,35.552,W State Highway 145 Spur,True,
5,3224169508,3224169451,"LINESTRING (-107.8208844006552 37.9412707747866, -107.8209306006551 37.94128047478704)",primary,1,4.193,,True,
6,3224169508,178060354,"LINESTRING (-107.8208844006552 37.9412707747866, -107.8208311006554 37.94137937478515, -107.8208138006556 37.94146787478426, -107.8208684006559 37.94184947478178, -107.8209062006559 37.9419138747817, -107.8211661006554 37.9419924747839, -107.8214181006549 37.94214577478544, -107.8214586006551 37.94230867478457)",residential,,144.276,"['Butcher Creek Drive', 'Mahoney Drive']",False,
7,3224169512,3224169466,"LINESTRING (-107.8209039006549 37.94107187478842, -107.8208756006549 37.94108107478804, -107.8208355006551 37.94110737478739, -107.8208128006552 37.9411395747869, -107.8208057006552 37.94116697478658, -107.8208106006552 37.94120377478634)",primary,1,18.579,,True,
8,3224169512,1466047480,"LINESTRING (-107.8209039006549 37.94107187478842, -107.8207910006551 37.9410078747877, -107.8205747006554 37.9408854747863, -107.8204733006557 37.94085887478542)",primary,2,44.910000000000004,West Colorado Avenue,True,
9,178099262,178099265,"LINESTRING (-107.8161891006615 37.93696717476966, -107.8161124006619 37.93716287476727, -107.8159391006629 37.93758477476198)",residential,,72.09100000000001,South Townsend Street,False,
10,178099262,2389002626,"LINESTRING (-107.8161891006615 37.93696717476966, -107.8169292006599 37.9371645747762, -107.8169955006597 37.93720727477659, -107.8170045006598 37.93726117477626, -107.8169582006601 37.93737317477486)",residential,,95.16700000000002,Depot Avenue,False,
11,178099262,2389001704,"LINESTRING (-107.8161891006615 37.93696717476966, -107.8159849006619 37.93691417476786, -107.815940100662 37.93688597476758, -107.815907600662 37.93684357476758, -107.8158617006621 37.93680117476742, -107.8157968006622 37.93676757476696, -107.8149949006639 37.93656887475976, -107.8143632006653 37.93640717475413)",residential,,174.35500000000002,Depot Avenue,False,
12,178099265,178105644,"LINESTRING (-107.8159391006629 37.93758477476198, -107.8178045006588 37.93805377477867)",residential,2,171.702,West Pacific Avenue,False,
13,178099265,178105643,"LINESTRING (-107.8159391006629 37.93758477476198, -107.8140747006669 37.93709867474541)",residential,2,172.206,West Pacific Avenue,False,
14,178099265,178099267,"LINESTRING (-107.8159391006629 37.93758477476198, -107.8157902006637 37.93795707475734, -107.8155971006647 37.93839817475168)",residential,,95.298,South Townsend Street,False,
