,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
0,1852506149,112332539,"LINESTRING (8.505234700000001 47.3994612, 8.5054204 47.3994344, 8.505435500000001 47.3994319, 8.5055636 47.3993614, 8.506152 47.3988812, 8.5062315 47.3988438, 8.5063274 47.3988184, 8.506510499999999 47.3987874)",unclassified,,126.50300000000001,Ottenbergstrasse,False,50
1,1852506149,5069545256,"LINESTRING (8.505234700000001 47.3994612, 8.5052109 47.3995921, 8.505145799999999 47.3996434, 8.505008699999999 47.3997147, 8.5045869 47.3998991, 8.504543 47.3999178)",tertiary,,76.895,Limmattalstrasse,True,50
2,1852506149,84492443,"LINESTRING (8.505234700000001 47.3994612, 8.5052635 47.3993736, 8.5052752 47.3993169, 8.5053129 47.399114, 8.505355099999999 47.398993, 8.5054207 47.3988866, 8.5054988 47.3987844, 8.5056183 47.3986804, 8.505743000000001 47.398598, 8.505770999999999 47.3985795, 8.5059103 47.3984998, 8.5062283 47.3983363, 8.5066568 47.398116, 8.5068454 47.3980189, 8.5073662 47.3977447, 8.5075933 47.3976257, 8.507621200000001 47.3976107, 8.5076494 47.3975955, 8.507893899999999 47.3974657, 8.5082509 47.3972761, 8.508637500000001 47.3971154, 8.509105 47.3969655, 8.509598799999999 47.3968167, 8.5096457 47.3968018, 8.5097632 47.3967696, 8.509976999999999 47.3967109, 8.510286900000001 47.3966444, 8.510612699999999 47.3965921, 8.5112618 47.3965077, 8.5115883 47.3964726, 8.5118144 47.3964557, 8.511906 47.3964489, 8.512296900000001 47.3964207, 8.512582099999999 47.3963992, 8.512666299999999 47.3963928, 8.513038999999999 47.3963643, 8.513109699999999 47.3963589, 8.513206800000001 47.3963516, 8.5132546 47.3963479, 8.5133294 47.3963422, 8.5135627 47.3963254, 8.513988700000001 47.3962932, 8.514356299999999 47.3962539, 8.514598100000001 47.3962141, 8.5149752 47.3961417, 8.515208700000001 47.396087, 8.5155663 47.3959848, 8.515812499999999 47.3959145, 8.516033699999999 47.3958518, 8.516391799999999 47.3957483, 8.5167071 47.3956692, 8.5169499 47.3956239, 8.5171884 47.3956003, 8.517474099999999 47.3955786, 8.5178624 47.3955701, 8.517958200000001 47.3955677, 8.5181342 47.3955537, 8.5182211 47.3955441, 8.5184558 47.3955123, 8.518666100000001 47.3954596, 8.518739099999999 47.3954413, 8.518896 47.3954026, 8.5190485 47.3953501, 8.519098400000001 47.3953329, 8.519350899999999 47.3952134, 8.5194641 47.395156)",tertiary,2,1232.5009999999995,"['Limmattalstrasse', 'Hönggerstrasse']",False,50
3,1852506159,3087213396,"LINESTRING (8.5051101 47.4003385, 8.505436 47.400192, 8.5059763 47.3999484)",residential,1,78.306,Brunnwiesenstrasse,True,30
4,1852506159,5637858519,"LINESTRING (8.5051101 47.4003385, 8.505020399999999 47.4003828, 8.504939500000001 47.4004267)",residential,1,16.161,Brunnwiesenstrasse,False,30
5,1852506175,1929009882,"LINESTRING (8.501557699999999 47.4020765, 8.501473499999999 47.4020016, 8.501411600000001 47.401909, 8.5013279 47.4018059, 8.5012156 47.4016673, 8.5011069 47.4015347, 8.5010455 47.4014305)",residential,,81.761,Bläsistrasse,False,30
6,1852506175,243746557,"LINESTRING (8.501557699999999 47.4020765, 8.501620900000001 47.4021131, 8.501707100000001 47.4021429, 8.5017941 47.4021605, 8.501885700000001 47.4021666, 8.5019449 47.4021684, 8.502257200000001 47.402154, 8.502361799999999 47.4021541, 8.502475799999999 47.4021606, 8.5025637 47.4021769, 8.5026548 47.4022027, 8.502811100000001 47.4022784, 8.503003 47.4024047, 8.5030555 47.4024274, 8.5040952 47.4020994, 8.504353800000001 47.4020185, 8.5046178 47.4019517, 8.5048928 47.4018792, 8.5051459 47.4017829, 8.505384899999999 47.4016666, 8.505686799999999 47.4018324)","['living_street', 'residential']",1,349.85999999999996,"['Müseliweg', 'Bläsistrasse', 'Im Maas']",False,"['30', '20']"
7,1852506175,5637860124,"LINESTRING (8.501557699999999 47.4020765, 8.501612700000001 47.4020346, 8.5019983 47.401907, 8.502084 47.4018786, 8.502176800000001 47.4018517, 8.502145000000001 47.4018051, 8.503322900000001 47.401463, 8.503440700000001 47.4014212, 8.5035101 47.4013884, 8.5035708 47.4013539, 8.503594 47.4013352, 8.503640799999999 47.4012977, 8.5037273 47.4012125, 8.5038071 47.4011394, 8.503921999999999 47.4010464, 8.5040859 47.4009225, 8.504260499999999 47.4008126)",living_street,1,257.533,Brunnwiesenstrasse,False,20
8,161611877,71324897,"LINESTRING (8.4949175 47.393342, 8.4955268 47.393336, 8.496136099999999 47.3933386, 8.497504899999999 47.393358, 8.498873100000001 47.3933897)",primary,3,297.846,Bernerstrasse Süd,True,60
9,1625817190,147599903,"LINESTRING (8.501982399999999 47.381618, 8.5013454 47.3811584, 8.500700699999999 47.3807096, 8.500636399999999 47.380658)",living_street,,147.211,Schneeglöggliweg,False,20
10,112984227,112984235,"LINESTRING (8.5090889 47.372002, 8.509058400000001 47.3719727, 8.5090284 47.3719237, 8.5090293 47.3718787, 8.509083 47.3717088, 8.509115899999999 47.3716146, 8.509132900000001 47.3715466, 8.509132599999999 47.3715205, 8.509122899999999 47.3714946, 8.509032700000001 47.3713718, 8.5088574 47.3711897, 8.5087125 47.3710304, 8.508602099999999 47.3709246, 8.508556799999999 47.3708778, 8.508538 47.3708585, 8.508497 47.3708131)","['living_street', 'residential']",,147.859,Leonhard-Ragaz-Weg,False,"['30', '20']"
11,112984235,258375411,"LINESTRING (8.508497 47.3708131, 8.508398100000001 47.3707089, 8.5082246 47.3705488, 8.5081262 47.3704936, 8.5080635 47.3704659, 8.507991000000001 47.3704428, 8.5079391 47.3704263, 8.507788100000001 47.3704067, 8.5077091 47.3703964)",residential,,79.106,Burstwiesenstrasse,False,50
12,112984235,112984227,"LINESTRING (8.508497 47.3708131, 8.508538 47.3708585, 8.508556799999999 47.3708778, 8.508602099999999 47.3709246, 8.5087125 47.3710304, 8.5088574 47.3711897, 8.509032700000001 47.3713718, 8.509122899999999 47.3714946, 8.509132599999999 47.3715205, 8.509132900000001 47.3715466, 8.509115899999999 47.3716146, 8.509083 47.3717088, 8.5090293 47.3718787, 8.5090284 47.3719237, 8.509058400000001 47.3719727, 8.5090889 47.372002)","['living_street', 'residential']",,147.85899999999998,Leonhard-Ragaz-Weg,False,"['30', '20']"
13,112984235,27488777,"LINESTRING (8.508497 47.3708131, 8.508401599999999 47.3708624, 8.5076155 47.3712495, 8.5074621 47.371325, 8.507363099999999 47.3713733, 8.507226299999999 47.3714401, 8.5068044 47.3716528, 8.5064622 47.3718254, 8.5057825 47.3721681, 8.5051241 47.3725245, 8.5050598 47.3725589, 8.504109 47.3731134, 8.503945999999999 47.373221)",secondary,2,435.223,Gutstrasse,False,50
14,112984235,2207079671,"LINESTRING (8.508497 47.3708131, 8.5088191 47.370655, 8.509055099999999 47.3705331, 8.5093178 47.3703974, 8.5095291 47.3702889)",secondary,"['3', '4']",97.15899999999999,Gutstrasse,False,50
15,2172649686,1545781029,"LINESTRING (8.5133495 47.370189, 8.513347700000001 47.3701659, 8.513355300000001 47.3701376, 8.513611900000001 47.3698604, 8.5136938 47.3697625)",tertiary,1,54.662000000000006,Goldbrunnenstrasse,True,30
16,2172649686,2172649691,"LINESTRING (8.5133495 47.370189, 8.5134069 47.3701885, 8.5135954 47.3701799, 8.5137356 47.3701895, 8.5141407 47.3702359, 8.514161400000001 47.3702379, 8.5142898 47.3702545)",secondary,"['2', '1']",71.522,Birmensdorferstrasse,True,30
17,2172649690,1545781170,"LINESTRING (8.513139600000001 47.3702494, 8.5129327 47.3701887)",secondary,1,16.98,Birmensdorferstrasse,True,30
18,2172649690,130117920,"LINESTRING (8.513139600000001 47.3702494, 8.513119400000001 47.3702977, 8.5130941 47.3703409, 8.5125814 47.3709265)",residential,,86.452,Goldbrunnenstrasse,False,30
19,2172649691,2172649700,"LINESTRING (8.5142898 47.3702545, 8.514441400000001 47.3702823, 8.5145734 47.3703141, 8.514685800000001 47.3703465)",secondary,1,31.577999999999996,Birmensdorferstrasse,True,50
20,2172649691,2172649707,"LINESTRING (8.5142898 47.3702545, 8.514305500000001 47.3702963, 8.5143051 47.3703451, 8.5142945 47.3703745, 8.5142717 47.3704079)",tertiary,,17.679000000000002,"['Friesenbergstrasse', 'Kalkbreitestrasse']",True,30
21,2172649695,2172649690,"LINESTRING (8.5134387 47.3702987, 8.513327800000001 47.3702762, 8.513139600000001 47.3702494)",secondary,1,23.201,Birmensdorferstrasse,True,30
22,2172649695,2172649686,"LINESTRING (8.5134387 47.3702987, 8.513382999999999 47.3702391, 8.513356099999999 47.3702107, 8.5133495 47.370189)",tertiary_link,,14.059,,True,30
23,2172649700,1545781190,"LINESTRING (8.514685800000001 47.3703465, 8.514858800000001 47.3704171)",secondary,1,15.211,Birmensdorferstrasse,True,50
24,2172649704,2172649695,"LINESTRING (8.5140207 47.3703898, 8.5138868 47.3703767, 8.513753100000001 47.3703573, 8.513607800000001 47.370333, 8.5135653 47.3703243, 8.5134387 47.3702987)",secondary,1,45.05,Birmensdorferstrasse,True,"['30', '50']"
25,2172649707,2172649704,"LINESTRING (8.5142717 47.3704079, 8.514132500000001 47.3704016, 8.5140207 47.3703898)",secondary,1,19.027,Birmensdorferstrasse,True,30
26,2172649707,267871097,"LINESTRING (8.5142717 47.3704079, 8.514221600000001 47.3704586, 8.514090700000001 47.3705923)",tertiary,1,24.622,Kalkbreitestrasse,True,30
27,150536451,4278971069,"LINESTRING (8.509786699999999 47.3701145, 8.509873900000001 47.3700641, 8.5099228 47.370034, 8.5100517 47.3699586)",secondary,3,26.436,Gutstrasse,True,50
28,150536451,4226485090,"LINESTRING (8.509786699999999 47.3701145, 8.509806299999999 47.3700353, 8.5098023 47.3699861, 8.509768100000001 47.3699234)",secondary,1,21.840000000000003,Gutstrasse,True,50
