,osmid,geometry
367788092,367788092,POINT (-87.5526716 41.757587)
2185494665,2185494665,POINT (-87.75116010000001 41.955208)
261357716,261357716,POINT (-87.788826 41.7840964)
261357720,261357720,POINT (-87.7888037 41.7835301)
261357888,261357888,POINT (-87.70401579999999 41.9776156)
261357912,261357912,POINT (-87.5988816 41.7057076)
2185494894,2185494894,POINT (-87.74454609999999 41.9517233)
3627549048,3627549048,POINT (-87.540014 41.6760478)
2185494919,2185494919,POINT (-87.7522657 41.953864)
2185494948,2185494948,POINT (-87.7434307 41.9597234)
1655439783,1655439783,POINT (-87.644114 41.8676893)
5353767347,5353767347,POINT (-87.73598730000001 41.8970329)
5353767363,5353767363,POINT (-87.73106370000001 41.8971236)
414188003,414188003,POINT (-87.5854636 41.747846)
2185495019,2185495019,POINT (-87.7467776 41.9579898)
261358071,261358071,POINT (-87.68804299999999 41.7609871)
261096003,261096003,POINT (-87.7020357 41.9215)
261096010,261096010,POINT (-87.7016349 41.9211422)
261096017,261096017,POINT (-87.6300538 41.7766076)
261096028,261096028,POINT (-87.7022154 41.9207047)
261096048,261096048,POINT (-87.5294627 41.6918182)
261358198,261358198,POINT (-87.690653 41.855932)
375653005,375653005,POINT (-87.5799846 41.766206)
261358241,261358241,POINT (-87.6876903 41.7414005)
261358255,261358255,POINT (-87.68920900000001 41.8043413)
261358257,261358257,POINT (-87.6881886 41.7664447)
375653073,375653073,POINT (-87.5793757 41.766212)
261358380,261358380,POINT (-87.8299947 41.9376786)
261358402,261358402,POINT (-87.8366156 41.9772239)
261358452,261358452,POINT (-87.6057382 41.8288952)
261096311,261096311,POINT (-87.6298762 41.8107519)
261096312,261096312,POINT (-87.63048430000001 41.8099195)
261096328,261096328,POINT (-87.7197668 41.873518)
261096337,261096337,POINT (-87.71924060000001 41.8744702)
5268571031,5268571031,POINT (-87.5853707 41.7939576)
375653308,375653308,POINT (-87.5787615 41.766217)
257164245,257164245,POINT (-87.6203725 41.8967797)
261151758,261151758,POINT (-87.7330159 41.7949506)
2400715782,2400715782,POINT (-87.66263290000001 41.8120776)
1034159115,1034159115,POINT (-87.6223547 41.8868337)
708314133,708314133,POINT (-87.64292330000001 41.8890755)
369886245,369886245,POINT (-87.6955346 41.9217925)
369886248,369886248,POINT (-87.69595339999999 41.9220448)
369886250,369886250,POINT (-87.695384 41.9217036)
261096635,261096635,POINT (-87.622293 41.7162907)
261096637,261096637,POINT (-87.62146490000001 41.7153963)
261096641,261096641,POINT (-87.62040589999999 41.7147007)
