,tract
"(134217739, <shapely.geometry.point.Point object at 0x10b8a1e10>)",7436.0
"(1814560793, <shapely.geometry.point.Point object at 0x1152b8160>)",7455.0
"(134217749, <shapely.geometry.point.Point object at 0x10b95c908>)",7463.0
"(1814560848, <shapely.geometry.point.Point object at 0x11d907e48>)",7463.0
"(133955665, <shapely.geometry.point.Point object at 0x115006ba8>)",7003.0
"(134217825, <shapely.geometry.point.Point object at 0x1671dd320>)",7462.0
"(133955690, <shapely.geometry.point.Point object at 0x1671dd400>)",7003.0
"(134217847, <shapely.geometry.point.Point object at 0x1671dd668>)",7462.0
"(133955704, <shapely.geometry.point.Point object at 0x1671dd630>)",7409.0
"(133955714, <shapely.geometry.point.Point object at 0x1671dd710>)",7409.0
"(134217858, <shapely.geometry.point.Point object at 0x1671dd6a0>)",7436.0
"(133955721, <shapely.geometry.point.Point object at 0x1671dd780>)",7003.0
"(134217868, <shapely.geometry.point.Point object at 0x1671dd748>)",7436.0
"(134217881, <shapely.geometry.point.Point object at 0x1671dd7f0>)",7434.0
"(133955754, <shapely.geometry.point.Point object at 0x1671dd7b8>)",7409.0
"(133955761, <shapely.geometry.point.Point object at 0x1671dd898>)",7456.0
"(134217911, <shapely.geometry.point.Point object at 0x1671dd828>)",3600.0
"(133955773, <shapely.geometry.point.Point object at 0x1671dd908>)",7464.0
"(134217925, <shapely.geometry.point.Point object at 0x1671ddbe0>)",7451.0
"(133955785, <shapely.geometry.point.Point object at 0x1671dd978>)",7464.0
"(133955799, <shapely.geometry.point.Point object at 0x1671dd940>)",6604.0
"(133955802, <shapely.geometry.point.Point object at 0x1671dda20>)",6604.0
"(134217772, <shapely.geometry.point.Point object at 0x1671dd9b0>)",7463.0
"(133955819, <shapely.geometry.point.Point object at 0x1671dda90>)",7442.0
"(1814561015, <shapely.geometry.point.Point object at 0x1671dda58>)",7455.0
"(134217995, <shapely.geometry.point.Point object at 0x1671ddb00>)",7001.0
"(134218018, <shapely.geometry.point.Point object at 0x1671ddac8>)",2000.0
"(134218023, <shapely.geometry.point.Point object at 0x1671ddba8>)",2500.0
"(134218045, <shapely.geometry.point.Point object at 0x1671ddb38>)",2500.0
"(134218053, <shapely.geometry.point.Point object at 0x1671ddc18>)",2500.0
"(1416888654, <shapely.geometry.point.Point object at 0x1671ddef0>)",2600.0
"(1416888657, <shapely.geometry.point.Point object at 0x1671ddc88>)",2600.0
"(134218079, <shapely.geometry.point.Point object at 0x1671ddc50>)",2500.0
"(133955953, <shapely.geometry.point.Point object at 0x1671ddcf8>)",7405.0
"(133955988, <shapely.geometry.point.Point object at 0x1671ddcc0>)",7429.0
"(134218139, <shapely.geometry.point.Point object at 0x1671ddd68>)",7409.0
"(134218151, <shapely.geometry.point.Point object at 0x1671ddd30>)",7409.0
"(133956009, <shapely.geometry.point.Point object at 0x1671dde10>)",7429.0
"(134218172, <shapely.geometry.point.Point object at 0x1671ddda0>)",6904.0
"(134218181, <shapely.geometry.point.Point object at 0x1671ddeb8>)",3401.0
"(134218183, <shapely.geometry.point.Point object at 0x1671dde48>)",3401.0
"(133956043, <shapely.geometry.point.Point object at 0x1671ddf28>)",7464.0
"(133956045, <shapely.geometry.point.Point object at 0x1671ddf98>)",7464.0
"(133956143, <shapely.geometry.point.Point object at 0x1671ddf60>)",6904.0
"(133956146, <shapely.geometry.point.Point object at 0x1671e2978>)",6904.0
"(133956148, <shapely.geometry.point.Point object at 0x1671e2f60>)",6904.0
"(133956150, <shapely.geometry.point.Point object at 0x1671e2240>)",6904.0
"(134218294, <shapely.geometry.point.Point object at 0x1671e2048>)",7001.0
"(134218298, <shapely.geometry.point.Point object at 0x1671e20b8>)",7001.0
"(134218301, <shapely.geometry.point.Point object at 0x1671e2080>)",7001.0
"(133956159, <shapely.geometry.point.Point object at 0x1671e2160>)",6904.0
"(133956164, <shapely.geometry.point.Point object at 0x1671e20f0>)",6904.0
"(134218311, <shapely.geometry.point.Point object at 0x1671e2208>)",7001.0
"(134218320, <shapely.geometry.point.Point object at 0x1671e2198>)",6906.0
"(133956192, <shapely.geometry.point.Point object at 0x1671e2278>)",6904.0
"(133956195, <shapely.geometry.point.Point object at 0x1671e2550>)",6904.0
"(133956197, <shapely.geometry.point.Point object at 0x1671e22e8>)",6904.0
"(133956199, <shapely.geometry.point.Point object at 0x1671e22b0>)",6904.0
"(133956201, <shapely.geometry.point.Point object at 0x1671e2390>)",6904.0
"(133956210, <shapely.geometry.point.Point object at 0x1671e2320>)",6804.0
"(133956211, <shapely.geometry.point.Point object at 0x1671e2400>)",6804.0
"(134218371, <shapely.geometry.point.Point object at 0x1671e23c8>)",3500.0
"(133956229, <shapely.geometry.point.Point object at 0x1671e2470>)",6804.0
"(134218375, <shapely.geometry.point.Point object at 0x1671e2438>)",3500.0
"(133956232, <shapely.geometry.point.Point object at 0x1671e2518>)",6804.0
"(133956237, <shapely.geometry.point.Point object at 0x1671e24a8>)",6804.0
"(133956250, <shapely.geometry.point.Point object at 0x1671e2588>)",6804.0
"(133956256, <shapely.geometry.point.Point object at 0x1671e2860>)",6804.0
"(134218411, <shapely.geometry.point.Point object at 0x1671e25f8>)",6906.0
"(133956305, <shapely.geometry.point.Point object at 0x1671e25c0>)",6804.0
"(133956308, <shapely.geometry.point.Point object at 0x1671e26a0>)",6804.0
"(134218453, <shapely.geometry.point.Point object at 0x1671e2630>)",3402.0
"(134218464, <shapely.geometry.point.Point object at 0x1671e2710>)",3402.0
"(134218472, <shapely.geometry.point.Point object at 0x1671e26d8>)",3402.0
"(133956367, <shapely.geometry.point.Point object at 0x1671e2780>)",7448.0
"(133956370, <shapely.geometry.point.Point object at 0x1671e2748>)",7448.0
"(133956373, <shapely.geometry.point.Point object at 0x1671e2828>)",6703.0
"(133956376, <shapely.geometry.point.Point object at 0x1671e27b8>)",7448.0
"(133956382, <shapely.geometry.point.Point object at 0x1671e2898>)",0.0
"(133956384, <shapely.geometry.point.Point object at 0x1671e2b70>)",7448.0
"(133956386, <shapely.geometry.point.Point object at 0x1671e2908>)",7448.0
"(133956390, <shapely.geometry.point.Point object at 0x1671e28d0>)",7448.0
"(133956396, <shapely.geometry.point.Point object at 0x1671e29b0>)",7448.0
"(133956399, <shapely.geometry.point.Point object at 0x1671e2940>)",7448.0
"(133956405, <shapely.geometry.point.Point object at 0x1671e2a20>)",7407.0
"(133956409, <shapely.geometry.point.Point object at 0x1671e29e8>)",7407.0
"(133956411, <shapely.geometry.point.Point object at 0x1671e2a90>)",7407.0
"(133956421, <shapely.geometry.point.Point object at 0x1671e2a58>)",7407.0
"(133956423, <shapely.geometry.point.Point object at 0x1671e2b38>)",7407.0
"(133956424, <shapely.geometry.point.Point object at 0x1671e2ac8>)",7407.0
"(133956434, <shapely.geometry.point.Point object at 0x1671e2ba8>)",7407.0
"(133956443, <shapely.geometry.point.Point object at 0x1671e2f98>)",7407.0
"(133956449, <shapely.geometry.point.Point object at 0x1671e2c18>)",7407.0
"(133956451, <shapely.geometry.point.Point object at 0x1671e2be0>)",7407.0
"(133956456, <shapely.geometry.point.Point object at 0x1671e2cc0>)",7407.0
"(133956466, <shapely.geometry.point.Point object at 0x1671e2c50>)",7407.0
"(133956485, <shapely.geometry.point.Point object at 0x1671e2d30>)",7407.0
"(133956488, <shapely.geometry.point.Point object at 0x1671e2cf8>)",7407.0
"(133956494, <shapely.geometry.point.Point object at 0x1671e2da0>)",7408.0
"(133956497, <shapely.geometry.point.Point object at 0x1671e2d68>)",7408.0
"(134218645, <shapely.geometry.point.Point object at 0x1671e2e10>)",6604.0
"(133956503, <shapely.geometry.point.Point object at 0x1671e2dd8>)",7408.0
"(133956513, <shapely.geometry.point.Point object at 0x1671e2eb8>)",7408.0
"(133956517, <shapely.geometry.point.Point object at 0x1671e2e48>)",7408.0
"(133956520, <shapely.geometry.point.Point object at 0x1671e2ef0>)",7408.0
"(133956522, <shapely.geometry.point.Point object at 0x10b9fb4e0>)",7408.0
"(133956555, <shapely.geometry.point.Point object at 0x121736550>)",7409.0
"(134218699, <shapely.geometry.point.Point object at 0x1671cceb8>)",7440.0
"(134218704, <shapely.geometry.point.Point object at 0x1671cc0b8>)",7440.0
"(133956575, <shapely.geometry.point.Point object at 0x1671cc080>)",7456.0
"(133956581, <shapely.geometry.point.Point object at 0x1671cc160>)",7456.0
"(133956586, <shapely.geometry.point.Point object at 0x1671cc0f0>)",7456.0
"(133956591, <shapely.geometry.point.Point object at 0x1671cc1d0>)",7456.0
"(133956594, <shapely.geometry.point.Point object at 0x1671cc198>)",7456.0
"(133956607, <shapely.geometry.point.Point object at 0x1671cc240>)",7464.0
"(133956615, <shapely.geometry.point.Point object at 0x1671cc208>)",7464.0
"(133956620, <shapely.geometry.point.Point object at 0x1671cc2e8>)",7464.0
"(134218837, <shapely.geometry.point.Point object at 0x1671cc278>)",6602.0
"(133956696, <shapely.geometry.point.Point object at 0x1671cc358>)",7432.0
"(133956710, <shapely.geometry.point.Point object at 0x1671cc630>)",7432.0
"(134218861, <shapely.geometry.point.Point object at 0x1671cc3c8>)",6400.0
"(133956722, <shapely.geometry.point.Point object at 0x1671cc390>)",7432.0
"(133956729, <shapely.geometry.point.Point object at 0x1671cc470>)",7432.0
"(133956751, <shapely.geometry.point.Point object at 0x1671cc400>)",7435.0
"(133956760, <shapely.geometry.point.Point object at 0x1671cc4e0>)",7435.0
"(133956781, <shapely.geometry.point.Point object at 0x1671cc4a8>)",6804.0
"(134218936, <shapely.geometry.point.Point object at 0x1671cc550>)",7441.0
"(133956802, <shapely.geometry.point.Point object at 0x1671cc518>)",6804.0
"(133956810, <shapely.geometry.point.Point object at 0x1671cc5f8>)",6804.0
"(134218960, <shapely.geometry.point.Point object at 0x1671cc588>)",7441.0
"(134218965, <shapely.geometry.point.Point object at 0x1671cc668>)",7441.0
"(133956850, <shapely.geometry.point.Point object at 0x1671cc940>)",6804.0
"(133956871, <shapely.geometry.point.Point object at 0x1671cc6d8>)",4500.0
"(133956874, <shapely.geometry.point.Point object at 0x1671cc6a0>)",4500.0
"(133956884, <shapely.geometry.point.Point object at 0x1671cc780>)",3900.0
"(133956886, <shapely.geometry.point.Point object at 0x1671cc710>)",3900.0
"(133956887, <shapely.geometry.point.Point object at 0x1671cc7f0>)",3900.0
"(133956889, <shapely.geometry.point.Point object at 0x1671cc7b8>)",3900.0
"(133956902, <shapely.geometry.point.Point object at 0x1671cc860>)",4500.0
"(133956911, <shapely.geometry.point.Point object at 0x1671cc828>)",4500.0
"(133956916, <shapely.geometry.point.Point object at 0x1671cc908>)",4500.0
"(134219093, <shapely.geometry.point.Point object at 0x1671cc898>)",500.0
"(133956956, <shapely.geometry.point.Point object at 0x1671cc978>)",3600.0
"(133956983, <shapely.geometry.point.Point object at 0x1671ccc50>)",3300.0
"(133956990, <shapely.geometry.point.Point object at 0x1671cc9e8>)",3300.0
"(133956993, <shapely.geometry.point.Point object at 0x1671cc9b0>)",3300.0
"(133956996, <shapely.geometry.point.Point object at 0x1671cca90>)",3300.0
"(133956999, <shapely.geometry.point.Point object at 0x1671cca20>)",3300.0
"(133957009, <shapely.geometry.point.Point object at 0x1671ccb00>)",4000.0
"(134219163, <shapely.geometry.point.Point object at 0x1671ccac8>)",1100.0
"(133957019, <shapely.geometry.point.Point object at 0x1671ccb70>)",4000.0
"(133957024, <shapely.geometry.point.Point object at 0x1671ccb38>)",4000.0
"(134219191, <shapely.geometry.point.Point object at 0x1671ccc18>)",5000.0
"(134219206, <shapely.geometry.point.Point object at 0x1671ccba8>)",4900.0
"(134219216, <shapely.geometry.point.Point object at 0x1671ccc88>)",4900.0
"(133957078, <shapely.geometry.point.Point object at 0x1671ccf60>)",7312.0
"(133957084, <shapely.geometry.point.Point object at 0x1671cccf8>)",7312.0
"(133957089, <shapely.geometry.point.Point object at 0x1671cccc0>)",7312.0
"(134219252, <shapely.geometry.point.Point object at 0x1671ccda0>)",4800.0
"(133957132, <shapely.geometry.point.Point object at 0x1671ccd30>)",7462.0
"(133957147, <shapely.geometry.point.Point object at 0x1671cce10>)",7462.0
"(133957160, <shapely.geometry.point.Point object at 0x1671ccdd8>)",7462.0
"(133957197, <shapely.geometry.point.Point object at 0x1671cce80>)",7462.0
"(133957223, <shapely.geometry.point.Point object at 0x1671cce48>)",7409.0
"(133957227, <shapely.geometry.point.Point object at 0x1671ccf28>)",7409.0
"(133957242, <shapely.geometry.point.Point object at 0x1671cc048>)",7409.0
"(133957266, <shapely.geometry.point.Point object at 0x1671ccf98>)",7462.0
"(133957275, <shapely.geometry.point.Point object at 0x1671ccfd0>)",7462.0
