,osmid,geometry
1852506149,1852506149,POINT (8.505234700000001 47.3994612)
1852506159,1852506159,POINT (8.5051101 47.4003385)
1852506175,1852506175,POINT (8.501557699999999 47.4020765)
161611877,161611877,POINT (8.4949175 47.393342)
1625817190,1625817190,POINT (8.501982399999999 47.381618)
112984227,112984227,POINT (8.5090889 47.372002)
112984235,112984235,POINT (8.508497 47.3708131)
2172649686,2172649686,POINT (8.5133495 47.370189)
2172649690,2172649690,POINT (8.513139600000001 47.3702494)
2172649691,2172649691,POINT (8.5142898 47.3702545)
2172649695,2172649695,POINT (8.5134387 47.3702987)
2172649700,2172649700,POINT (8.514685800000001 47.3703465)
2172649704,2172649704,POINT (8.5140207 47.3703898)
2172649707,2172649707,POINT (8.5142717 47.3704079)
150536451,150536451,POINT (8.509786699999999 47.3701145)
131924237,131924237,POINT (8.5552452 47.3754993)
71369076,71369076,POINT (8.524219799999999 47.384949)
246088174,246088174,POINT (8.524641799999999 47.3935602)
130244965,130244965,POINT (8.560312400000001 47.3843327)
3935699473,3935699473,POINT (8.539619800000001 47.3872754)
88998442,88998442,POINT (8.5325793 47.3702601)
88998467,88998467,POINT (8.5322034 47.3693837)
772211270,772211270,POINT (8.4990623 47.4191601)
301204091,301204091,POINT (8.522696699999999 47.3729261)
88998550,88998550,POINT (8.5329902 47.3700254)
84498425,84498425,POINT (8.509335500000001 47.3561094)
84498426,84498426,POINT (8.5087604 47.3558302)
88998598,88998598,POINT (8.5311091 47.3692691)
5177541341,5177541341,POINT (8.518263599999999 47.3861012)
29033205,29033205,POINT (8.524676100000001 47.3737645)
29033206,29033206,POINT (8.5313116 47.3776555)
29033209,29033209,POINT (8.5309428 47.3839154)
29033214,29033214,POINT (8.5340186 47.3838945)
29033215,29033215,POINT (8.536667400000001 47.381926)
29033216,29033216,POINT (8.537614700000001 47.3825185)
29033217,29033217,POINT (8.5381354 47.3809532)
29033218,29033218,POINT (8.534944299999999 47.3844794)
29033219,29033219,POINT (8.5321757 47.3842138)
29033228,29033228,POINT (8.533626399999999 47.3818835)
29033229,29033229,POINT (8.535163300000001 47.3810062)
29033244,29033244,POINT (8.5414973 47.3780266)
5725291303,5725291303,POINT (8.520251399999999 47.340154)
29033257,29033257,POINT (8.543079499999999 47.3776326)
88998706,88998706,POINT (8.5306655 47.3696474)
5511578439,5511578439,POINT (8.505213899999999 47.4085131)
5511578444,5511578444,POINT (8.5054158 47.4085569)
142607262,142607262,POINT (8.5346788 47.39472)
6291981224,6291981224,POINT (8.5461752 47.3678792)
513409998,513409998,POINT (8.5480865 47.4158513)
356647894,356647894,POINT (8.547351300000001 47.4287972)
843580416,843580416,POINT (8.5220898 47.3707204)
497288193,497288193,POINT (8.589259699999999 47.3995021)
497288194,497288194,POINT (8.5852998 47.4019399)
497288200,497288200,POINT (8.589624199999999 47.3991312)
497288201,497288201,POINT (8.589259 47.3983811)
5206443074,5206443074,POINT (8.510735 47.3699357)
5206443075,5206443075,POINT (8.5102019 47.3699781)
5206443077,5206443077,POINT (8.509828300000001 47.3701798)
94700620,94700620,POINT (8.5822199 47.4035933)
1020462166,1020462166,POINT (8.535131 47.4010555)
71369840,71369840,POINT (8.527457 47.3835719)
1400964255,1400964255,POINT (8.558814999999999 47.4095129)
1480393909,1480393909,POINT (8.5468644 47.368198)
344917177,344917177,POINT (8.5634061 47.3737863)
1480393914,1480393914,POINT (8.5466085 47.3684403)
5169480906,5169480906,POINT (8.4810888 47.3808273)
513410262,513410262,POINT (8.5468592 47.4167223)
246088921,246088921,POINT (8.5244278 47.3932392)
246088927,246088927,POINT (8.5237727 47.3926763)
3549824263,3549824263,POINT (8.590664500000001 47.4059364)
3549824262,3549824262,POINT (8.591255500000001 47.4062036)
94700819,94700819,POINT (8.585160800000001 47.4055665)
255264022,255264022,POINT (8.5424858 47.3800725)
94700826,94700826,POINT (8.5888369 47.4031087)
5075305823,5075305823,POINT (8.568713199999999 47.3598809)
34669932,34669932,POINT (8.5368958 47.3697064)
449840499,449840499,POINT (8.5560832 47.3596295)
34669939,34669939,POINT (8.533179000000001 47.3682516)
34669940,34669940,POINT (8.5317455 47.3676395)
34669938,34669938,POINT (8.5342126 47.3686031)
3641181561,3641181561,POINT (8.590192399999999 47.3650779)
34669944,34669944,POINT (8.5307528 47.3685038)
34669945,34669945,POINT (8.533922499999999 47.3672627)
1020462483,1020462483,POINT (8.5355089 47.4008275)
139593109,139593109,POINT (8.493367299999999 47.3942335)
823723427,823723427,POINT (8.510064 47.3784419)
823723430,823723430,POINT (8.5098392 47.3783116)
823723437,823723437,POINT (8.507127799999999 47.3797572)
269959776,269959776,POINT (8.5651648 47.3820902)
177014346,177014346,POINT (8.5243515 47.3508774)
1400964811,1400964811,POINT (8.5706205 47.4121392)
264505052,264505052,POINT (8.538913600000001 47.3911855)
264505075,264505075,POINT (8.538622 47.3913562)
94701305,94701305,POINT (8.585446900000001 47.4019051)
94701308,94701308,POINT (8.5845784 47.4066509)
4074833669,4074833669,POINT (8.520645500000001 47.3889834)
151324432,151324432,POINT (8.5779903 47.3578076)
151324444,151324444,POINT (8.5813538 47.3554173)
261621554,261621554,POINT (8.5246447 47.3554187)
561252228,561252228,POINT (8.549802700000001 47.3589835)
561252229,561252229,POINT (8.5488426 47.3603053)
1400965027,1400965027,POINT (8.568834499999999 47.4122747)
5346953206,5346953206,POINT (8.5271148 47.3878069)
1400965110,1400965110,POINT (8.5691039 47.4125829)
1400965141,1400965141,POINT (8.568322800000001 47.4126367)
73140272,73140272,POINT (8.5160866 47.3678566)
1400965179,1400965179,POINT (8.5685576 47.4127918)
177014893,177014893,POINT (8.5248673 47.3521841)
71370877,71370877,POINT (8.5297932 47.3825584)
268044432,268044432,POINT (8.5012487 47.3687523)
151324944,151324944,POINT (8.5766113 47.3613724)
151324949,151324949,POINT (8.577570700000001 47.3583488)
312281376,312281376,POINT (8.5471389 47.4082312)
142608684,142608684,POINT (8.535956499999999 47.3943983)
3980790084,3980790084,POINT (8.4851881 47.3879321)
94701892,94701892,POINT (8.576862500000001 47.4038741)
94701894,94701894,POINT (8.5817698 47.4026892)
94701895,94701895,POINT (8.588117199999999 47.4012269)
94701896,94701896,POINT (8.5898336 47.4004065)
3426421100,3426421100,POINT (8.4941338 47.3650889)
5557062023,5557062023,POINT (8.5421283 47.3876647)
5144054167,5144054167,POINT (8.514237899999999 47.3255522)
2967144863,2967144863,POINT (8.5199394 47.3914119)
69142950,69142950,POINT (8.5284742 47.4182685)
71371186,71371186,POINT (8.5281743 47.3832656)
69142974,69142974,POINT (8.538205700000001 47.4215484)
153487812,153487812,POINT (8.5641026 47.3801198)
479726138,479726138,POINT (8.5138143 47.368477)
387910214,387910214,POINT (8.534920400000001 47.3929491)
84478541,84478541,POINT (8.498595999999999 47.3775965)
151325326,151325326,POINT (8.5808582 47.3583076)
2989361816,2989361816,POINT (8.477386299999999 47.4052575)
92998313,92998313,POINT (8.551330699999999 47.4016215)
146606818,146606818,POINT (8.479726599999999 47.3889143)
146672357,146672357,POINT (8.4810827 47.4059964)
1711934249,1711934249,POINT (8.4693077 47.4027148)
109644598,109644598,POINT (8.5364582 47.3913452)
1711934288,1711934288,POINT (8.4694608 47.4028197)
4226485090,4226485090,POINT (8.509768100000001 47.3699234)
261622701,261622701,POINT (8.5221401 47.3403773)
345377709,345377709,POINT (8.561749000000001 47.3625009)
345377712,345377712,POINT (8.561317300000001 47.3630228)
107154350,107154350,POINT (8.545427999999999 47.4090379)
27462587,27462587,POINT (8.5437268 47.3685539)
105515989,105515989,POINT (8.5487085 47.3720923)
105515992,105515992,POINT (8.547568500000001 47.3727459)
2020412429,2020412429,POINT (8.5585176 47.4054858)
26807316,26807316,POINT (8.5439243 47.3686351)
246090776,246090776,POINT (8.5220653 47.3945129)
1831341082,1831341082,POINT (8.503294800000001 47.3811672)
94702621,94702621,POINT (8.578470100000001 47.4036403)
26807331,26807331,POINT (8.5435081 47.3763366)
26807332,26807332,POINT (8.543009400000001 47.3743647)
104336438,104336438,POINT (8.531628100000001 47.3668051)
5395909694,5395909694,POINT (8.549560100000001 47.3747331)
4393405537,4393405537,POINT (8.5375891 47.3920889)
325658388,325658388,POINT (8.4711359 47.3910958)
325658389,325658389,POINT (8.4723261 47.3919971)
5395909839,5395909839,POINT (8.549254899999999 47.3720911)
94702815,94702815,POINT (8.5817073 47.4047012)
94702818,94702818,POINT (8.5811636 47.4017179)
225971427,225971427,POINT (8.531748800000001 47.3843725)
268832003,268832003,POINT (8.516509900000001 47.3671238)
151325964,151325964,POINT (8.572142299999999 47.3578483)
151325965,151325965,POINT (8.572543 47.3579747)
151325970,151325970,POINT (8.5741543 47.3583312)
151325976,151325976,POINT (8.5753924 47.3582613)
151325978,151325978,POINT (8.576179099999999 47.3587747)
94113061,94113061,POINT (8.5278098 47.3863525)
1311771959,1311771959,POINT (8.549693899999999 47.3632009)
345050449,345050449,POINT (8.5495695 47.3827592)
504499607,504499607,POINT (8.538494 47.3852306)
504499611,504499611,POINT (8.538496500000001 47.3867122)
109907365,109907365,POINT (8.5389687 47.3922191)
105450917,105450917,POINT (8.5473698 47.3852813)
107154853,107154853,POINT (8.546334399999999 47.4094673)
94703015,94703015,POINT (8.5765292 47.4030648)
94703013,94703013,POINT (8.5768439 47.404906)
458362317,458362317,POINT (8.522748699999999 47.3489866)
458362325,458362325,POINT (8.520098300000001 47.3466463)
94899700,94899700,POINT (8.5408866 47.404342)
518589940,518589940,POINT (8.558203300000001 47.3701152)
151326202,151326202,POINT (8.571415399999999 47.3583297)
269487643,269487643,POINT (8.5653886 47.3609695)
269487645,269487645,POINT (8.5633029 47.3609674)
586288672,586288672,POINT (8.5151316 47.4151028)
300027431,300027431,POINT (8.538797600000001 47.3772594)
