"Jahr","Quartier_Name","Quartier_Nummer","Medianqmp"
2009,"Affoltern",111,6170
2010,"Affoltern",111,5120
2011,"Affoltern",111,4930
2012,"Affoltern",111,6070
2013,"Affoltern",111,7530
2014,"Affoltern",111,8350
2015,"Affoltern",111,7240
2016,"Affoltern",111,8070
2017,"Affoltern",111,10170
2018,"Affoltern",111,8610
2019,"Affoltern",111,9790
2009,"Albisrieden",91,7890
2010,"Albisrieden",91,7430
2011,"Albisrieden",91,9580
2012,"Albisrieden",91,8320
2013,"Albisrieden",91,7650
2014,"Albisrieden",91,7720
2015,"Albisrieden",91,8380
2016,"Albisrieden",91,8470
2017,"Albisrieden",91,9500
2018,"Albisrieden",91,12030
2019,"Albisrieden",91,9680
2009,"Alt-Wiedikon",31,6610
2010,"Alt-Wiedikon",31,7810
2011,"Alt-Wiedikon",31,5710
2012,"Alt-Wiedikon",31,7730
2013,"Alt-Wiedikon",31,8230
2014,"Alt-Wiedikon",31,8550
2015,"Alt-Wiedikon",31,10770
2016,"Alt-Wiedikon",31,12510
2017,"Alt-Wiedikon",31,11880
2018,"Alt-Wiedikon",31,12250
2019,"Alt-Wiedikon",31,12390
2009,"Altstetten",92,6030
2010,"Altstetten",92,7600
2011,"Altstetten",92,5880
2012,"Altstetten",92,6530
2013,"Altstetten",92,8520
2014,"Altstetten",92,10990
2015,"Altstetten",92,10480
2016,"Altstetten",92,10480
2017,"Altstetten",92,10190
2018,"Altstetten",92,12150
2019,"Altstetten",92,12330
2009,"City",14,4570
2015,"City",14,14550
2016,"City",14,14550
2009,"Enge",24,9220
2010,"Enge",24,10620
2011,"Enge",24,9050
2012,"Enge",24,14170
2013,"Enge",24,11300
2014,"Enge",24,11400
2015,"Enge",24,13230
2016,"Enge",24,14210
2017,"Enge",24,15680
2018,"Enge",24,17380
2019,"Enge",24,16670
2009,"Escher Wyss",52,12550
2010,"Escher Wyss",52,8580
2011,"Escher Wyss",52,11370
2012,"Escher Wyss",52,14860
2013,"Escher Wyss",52,13170
2014,"Escher Wyss",52,12170
2015,"Escher Wyss",52,11430
2016,"Escher Wyss",52,13300
2017,"Escher Wyss",52,10910
2018,"Escher Wyss",52,15570
2019,"Escher Wyss",52,17470
2009,"Fluntern",71,13890
2010,"Fluntern",71,12110
2011,"Fluntern",71,13330
2012,"Fluntern",71,15240
2013,"Fluntern",71,15390
2014,"Fluntern",71,14680
2015,"Fluntern",71,14690
2016,"Fluntern",71,15850
2017,"Fluntern",71,15340
2018,"Fluntern",71,16230
2019,"Fluntern",71,17980
2009,"Friesenberg",33,8450
2010,"Friesenberg",33,9570
2011,"Friesenberg",33,9120
2014,"Friesenberg",33,8190
2015,"Friesenberg",33,8940
2016,"Friesenberg",33,12680
2018,"Friesenberg",33,8700
2019,"Friesenberg",33,9260
2009,"Gewerbeschule",51,8930
2010,"Gewerbeschule",51,6440
2011,"Gewerbeschule",51,8460
2012,"Gewerbeschule",51,13550
2013,"Gewerbeschule",51,4560
2015,"Gewerbeschule",51,10800
2017,"Gewerbeschule",51,11120
2018,"Gewerbeschule",51,10000
2019,"Gewerbeschule",51,17810
2009,"Hard",44,5530
2010,"Hard",44,4000
2011,"Hard",44,8680
2012,"Hard",44,8340
2013,"Hard",44,11970
2014,"Hard",44,5950
2015,"Hard",44,6030
2016,"Hard",44,7070
2017,"Hard",44,10960
2018,"Hard",44,5000
2019,"Hard",44,7240
2009,"Hirslanden",73,10890
2010,"Hirslanden",73,13230
2011,"Hirslanden",73,11400
2012,"Hirslanden",73,14120
2013,"Hirslanden",73,17990
2014,"Hirslanden",73,15000
2015,"Hirslanden",73,16200
2016,"Hirslanden",73,13890
2017,"Hirslanden",73,15240
2018,"Hirslanden",73,15360
2019,"Hirslanden",73,17070
2009,"Hirzenbach",123,5630
2010,"Hirzenbach",123,6290
